tempo,time_signature,instrumentalness,valence,artist,liveness,speechiness,duration_ms,track,acousticness,key,energy,danceability,genre,loudness
160.571,3,0.729,0.769,Benny Goodman,0.106,0.05,177865,Chicago,0.943,8,0.285,0.59,jazz,-11.216
91.473,4,0.799,0.538,Joshua Redman,0.0982,0.0323,412613,As This Moment Slips Away,0.785,5,0.429,0.533,jazz,-10.413
139.786,4,0.779,0.61,Thelonious Monk Trio,0.11,0.0404,458773,Blue Monk,0.853,3,0.435,0.479,jazz,-12.112
125.886,3,0.93,0.196,Mary Lou Williams,0.103,0.0381,285000,It Ain’t Necessarily So,0.938,4,0.139,0.586,jazz,-22.365
117.715,3,0.635,0.0581,Kenny Garrett,0.0839,0.0333,317946,Before It's Time To Say Goodbye,0.857,1,0.114,0.364,jazz,-16.552
118.84,4,0.418,0.581,Miles Davis,0.096,0.0332,841747,Miles Runs the Voodoo Down,0.249,10,0.524,0.534,jazz,-9.931
95.813,4,0.0798,0.643,Duke Ellington,0.0675,0.0357,235367,Alerado (take 1),0.752,7,0.329,0.464,jazz,-15.406
175.384,3,0.464,0.275,John Coltrane,0.113,0.0342,824133,My Favorite Things,0.694,4,0.242,0.277,jazz,-18.442
158.053,4,0.00933,0.893,Gal Costa,0.0926,0.0449,267267,Quando Você Olha Pra Ela,0.454,10,0.59,0.761,jazz,-10.274
118.5,4,0.00531,0.654,J.J. Johnson,0.278,0.0432,548240,Blue Trombone,0.442,5,0.395,0.466,jazz,-18.022
67.851,4,0.907,0.218,Eric Reed,0.0851,0.0499,285000,I Still Believe in You,0.964,1,0.0223,0.605,jazz,-22.559
129.002,4,0,0.517,Nat King Cole,0.102,0.0926,154867,Orange Colored Sky - 2000 Digital Remaster,0.785,10,0.279,0.534,jazz,-13.868
162.677,4,0.866,0.72,Benny Goodman,0.0766,0.0728,201587,Don't Be That Way,0.87,7,0.267,0.689,jazz,-11.567
78.729,3,0.908,0.131,Brad Mehldau,0.144,0.0364,600533,Prelude To A Kiss,0.929,0,0.104,0.37,jazz,-21.112
103.886,4,0.682,0.185,Keith Jarrett,0.0972,0.039,376546,Birth,0.959,5,0.119,0.392,jazz,-18.487
119.132,4,0.00139,0.668,Miles Davis,0.168,0.0521,205707,K.C. Blues,0.799,0,0.291,0.635,jazz,-11.219
108.489,4,0.381,0.471,Chick Corea,0.096,0.0369,191933,Windows - Digitally Remastered,0.673,1,0.344,0.503,jazz,-19.024
102.487,4,0.000152,0.866,The Paul Winter Sextet,0.114,0.0475,164400,The Spell of the Samba (Samba da Minha Terra),0.476,8,0.711,0.463,jazz,-14.809
120.479,4,0,0.475,Alice Babs,0.0416,0.0373,165800,I Let a Song Go out of My Heart,0.269,10,0.4,0.594,jazz,-8.875
203.05,4,0.856,0.877,Benny Goodman,0.0945,0.0551,152960,Let's Dance,0.98,8,0.431,0.517,jazz,-9.537
119.619,4,0.00366,0.249,Nat King Cole,0.0907,0.0359,166960,Let There Be Love,0.873,0,0.196,0.642,jazz,-17.25
171.439,3,0.0944,0.15,John Coltrane,0.0792,0.0418,258266,Naima,0.948,10,0.0141,0.303,jazz,-19.759
62.515,4,0.0015,0.0969,Vince Guaraldi,0.193,0.0435,265893,Charlie Brown Theme,0.15,1,0.156,0.629,jazz,-18.527
135.048,4,0.084,0.199,Melody Gardot,0.089,0.0465,305266,Morning Sun,0.762,1,0.264,0.533,jazz,-14.845
172.458,4,0.7,0.096,The Cinematic Orchestra,0.0836,0.0425,350520,Channel 1 Suite,0.0553,2,0.714,0.551,jazz,-9.772
108.892,4,0.00432,0.48,Sonny Clark,0.171,0.0339,563613,Cool Struttin',0.837,7,0.48,0.58,jazz,-7.682
92.732,3,0.914,0.478,Jason Moran,0.131,0.0328,275389,Blue Blocks,0.805,10,0.513,0.391,jazz,-13.444
116.162,4,0,0.457,Herbie Hancock,0.0814,0.0283,330093,Cantaloupe Island,0.39,0,0.551,0.485,jazz,-11.115
120.053,5,0.943,0.0833,Snarky Puppy,0.0848,0.0438,260813,Gretel - Live,0.0672,9,0.474,0.3,jazz,-8.053
66.082,3,0.00368,0.231,Bessie Smith,0.177,0.0665,176800,Nobody Knows You When You're Down and Out,0.996,4,0.0443,0.603,jazz,-12.054
173.36,3,0.899,0.251,Ahmad Jamal,0.144,0.0418,174000,Ahmad's Blues,0.99,5,0.15,0.508,jazz,-20.844
119.739,4,0,0.696,Joe Williams,0.173,0.0744,188133,I'm Beginning To See The Light,0.853,9,0.158,0.744,jazz,-17.615
67.008,4,0,0.47,Frank Sinatra,0.165,0.042,199093,Come Fly With Me - 1998 Digital Remaster,0.845,6,0.338,0.574,jazz,-11.376
119.886,4,0.000178,0.301,Herbie Hancock,0.131,0.0327,556133,Dolphin Dance,0.828,4,0.372,0.461,jazz,-11.01
59.527,4,0.446,0.0324,Mark Isham,0.2,0.0479,309027,Winter,0.946,6,0.0689,0.0776,jazz,-22.499
135.694,3,0.317,0.512,Wayne Shorter,0.109,0.0283,451733,Footprints,0.823,7,0.339,0.515,jazz,-16.457
129.865,4,0,0.647,Michael Bublé,0.362,0.0441,185693,You Make Me Feel So Young,0.702,9,0.537,0.508,jazz,-4.732
174.823,4,2.01e-06,0.0993,Sarah Vaughan,0.0946,0.0353,197560,Autumn In New York,0.929,0,0.236,0.184,jazz,-12.875
130.215,4,0.129,0.818,Barbara Dennerlein,0.367,0.0699,389467,Give It Up,0.181,10,0.811,0.702,jazz,-7.432
166.973,4,0.864,0.537,Art Tatum,0.14,0.0347,193867,Tea for Two,0.991,1,0.452,0.358,jazz,-13.02
112.89,4,0.000368,0.205,Miles Davis,0.129,0.0467,355333,'Round Midnight,0.79,10,0.182,0.495,jazz,-11.116
127.397,5,0.887,0.311,Wynton Marsalis,0.281,0.0393,168667,Where or When,0.99,4,0.0575,0.326,jazz,-16.5
81.079,4,0.0233,0.761,Thelonious Monk,0.105,0.0508,385467,Monk's Dream - Take 8,0.572,5,0.278,0.698,jazz,-15.425
78.449,4,0.00684,0.625,Chano Pozo,0.338,0.0657,155037,Moody'S All Frantic,0.701,6,0.593,0.545,jazz,-13.728
118.44,4,0,0.627,Ella Fitzgerald,0.107,0.0431,156933,It's Only A Paper Moon,0.958,10,0.138,0.732,jazz,-14.28
96.154,4,0.791,0.615,Fats Waller,0.192,0.0635,241427,Ain't Misbehavin,0.989,0,0.299,0.546,jazz,-14.836
109.205,4,0.000261,0.685,Cab Calloway,0.0956,0.0928,191733,Minnie the Moocher,0.96,4,0.232,0.71,jazz,-11.399
105.688,3,0.378,0.246,The Milt Jackson Quartet,0.114,0.0425,146787,A Beautiful Romance,0.965,8,0.0957,0.493,jazz,-21.08
86.669,3,0.096,0.259,Charles Mingus,0.209,0.0353,342373,Goodbye Pork Pie Hat,0.957,8,0.0937,0.356,jazz,-16.64
144.137,3,0.348,0.238,Adam Baldych,0.164,0.04,361267,Letter for E.,0.925,2,0.268,0.302,jazz,-12.988
97.589,4,0.000324,0.698,Sun Ra,0.212,0.0818,253960,Brainville,0.61,3,0.469,0.623,jazz,-11.689
110.134,4,0.822,0.133,Tommy Flanagan,0.149,0.0522,349600,Angel Eyes - Studio,0.876,5,0.145,0.487,jazz,-18.67
137.998,4,0.938,0.595,Mary Lou Williams,0.109,0.0405,152000,Miss D. D.,0.911,5,0.0566,0.489,jazz,-24.377
121.761,4,0.777,0.0999,John Coltrane,0.0695,0.0378,345267,Everytime We Say Goodbye,0.803,3,0.121,0.447,jazz,-21.562
105.943,4,0.00662,0.806,Dave Brubeck,0.0767,0.0471,143507,Bossa Nova U.S.A.,0.53,5,0.497,0.617,jazz,-14.132
116.289,4,0.854,0.35,Oliver Nelson,0.123,0.0431,526827,Stolen Moments,0.884,0,0.249,0.536,jazz,-14.381
81.013,4,0.000351,0.26,Ornette Coleman,0.094,0.0297,299507,Lonely Woman,0.412,9,0.316,0.467,jazz,-12.072
120.71,4,0.00124,0.324,Dexter Gordon,0.0544,0.0346,322000,I Guess I'll Hang My Tears Out To Dry - 1999 Digital Remaster,0.907,3,0.222,0.524,jazz,-8.967
75.662,4,0.815,0.149,Benny Goodman,0.125,0.0331,198400,Goodbye,0.977,3,0.189,0.248,jazz,-13.594
77.945,3,0.908,0.0746,Nicholas Payton,0.112,0.0306,325400,The Last Goodbye,0.959,2,0.173,0.383,jazz,-11.969
96.47,4,0.382,0.484,Art Farmer,0.071,0.0439,344067,Fair Weather - 1991 Digital Remaster,0.872,7,0.204,0.615,jazz,-16.075
105.141,1,0.886,0.233,Thelonious Monk,0.0669,0.065,268400,Body and Soul,0.935,1,0.292,0.513,jazz,-16.83
78.842,4,0.793,0.641,Takuya Kuroda,0.114,0.108,298238,Green And Gold,0.337,11,0.264,0.805,jazz,-12.138
184.007,3,0.732,0.198,Joe Lovano,0.111,0.0386,314493,Emperor Jones - Instrumental,0.93,7,0.328,0.336,jazz,-15.005
70.958,4,0,0.262,Diana Krall,0.125,0.033,230680,Alone Again (Naturally),0.945,7,0.213,0.599,jazz,-11.704
75.844,4,0.939,0.285,Gerry Mulligan,0.147,0.0441,246067,My Funny Valentine,0.972,5,0.0317,0.329,jazz,-21.514
124.346,4,0.00323,0.184,Herbie Hancock,0.0944,0.0305,477093,Maiden Voyage,0.718,0,0.459,0.468,jazz,-9.706
116.981,4,0.925,0.588,Dave Brubeck,0.0989,0.0745,119827,Unsquare Dance,0.0503,7,0.512,0.647,jazz,-13.619
140.022,4,0.898,0.166,Jim Black,0.122,0.0356,273293,K,0.642,0,0.351,0.435,jazz,-15.576
90.127,3,0.91,0.189,,0.0991,0.0455,307920,,0.979,2,0.119,0.42,jazz,-21.684
172.604,4,0,0.572,Rebecca Ferguson,0.0696,0.0381,157773,What Is This Thing Called Love,0.222,0,0.482,0.532,jazz,-7.944
110.473,4,4.33e-05,0.39,Charlie Haden,0.239,0.0798,282373,The Good Life,0.111,7,0.254,0.613,jazz,-19.314
168.55,5,0.00098,0.617,Dave Brubeck,0.0681,0.0385,323067,Take Five,0.545,8,0.219,0.457,jazz,-15.325
79.318,4,0,0.366,Ella Fitzgerald,0.159,0.0779,187693,Dream A Little Dream Of Me,0.918,9,0.169,0.549,jazz,-13.433
94.26,4,0.727,0.96,Medeski Scofield Martin & Wood,0.112,0.0419,233533,Little Walter Rides Again,0.157,8,0.729,0.634,jazz,-9.001
119.62,4,4.1e-06,0.381,Frank Sinatra,0.0826,0.061,147520,Fly Me To The Moon - Remastered 2008,0.523,4,0.299,0.635,jazz,-12.279
159.504,4,0.914,0.472,Chick Corea,0.102,0.0361,216707,My One And Only Love - Digitally Remastered,0.819,10,0.209,0.351,jazz,-23.533
105.816,4,0.942,0.38,Keith Jarrett,0.127,0.0351,273973,Everything I Love,0.876,0,0.31,0.385,jazz,-17.769
127.359,4,0.00441,0.574,Horace Silver,0.122,0.0407,438280,Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered],0.794,5,0.671,0.742,jazz,-8.142
123.772,4,0,0.516,Sarah Vaughan,0.23,0.0413,172533,Mean to Me,0.823,1,0.0986,0.623,jazz,-10.503
88.174,4,1.1e-05,0.636,Norah Jones,0.0659,0.028,186147,Don't Know Why,0.883,5,0.198,0.732,jazz,-11.775
175.02,4,0.894,0.595,Art Tatum,0.101,0.0486,172293,Blue Skies,0.989,1,0.0711,0.443,jazz,-20.146
126.256,4,0.198,0.431,Art Blakey & The Jazz Messengers,0.13,0.0568,576173,Moanin',0.827,5,0.233,0.614,jazz,-18.964
111.269,4,0.634,0.524,Emily Saunders,0.111,0.0421,259160,Summer Days,0.725,2,0.567,0.703,jazz,-9.722
117.505,4,0.000105,0.961,Ike & Tina Turner,0.507,0.0917,157720,Proud Mary,0.663,1,0.917,0.628,blues,-5.067
167.274,5,0,0.223,Ray Charles,0.163,0.0293,218213,Georgia On My Mind,0.835,7,0.329,0.209,blues,-8.299
124.221,4,0,0.852,John Lee Hooker,0.345,0.0695,180048,"One Bourbon, One Scotch, One Beer",0.553,7,0.672,0.733,blues,-11.725
175.962,3,9.02e-06,0.836,Aaron Neville,0.207,0.0641,184747,Tell it Like it is,0.789,5,0.522,0.455,blues,-6.266
103.111,4,0,0.658,Gene Chandler,0.0951,0.0328,147467,Duke Of Earl,0.735,5,0.411,0.582,blues,-9.767
144.064,4,1.46e-06,0.7,James Brown,0.0501,0.0981,167840,I Got You (I Feel Good),0.366,7,0.587,0.608,blues,-5.594
121.568,4,0,0.318,Roberta Flack,0.0615,0.0342,286920,Killing Me Softly With His Song,0.727,5,0.381,0.477,blues,-10.237
120.004,4,0,0.693,Candi Staton,0.165,0.0316,223387,Young Hearts Run Free,0.22,3,0.764,0.635,blues,-5.535
173.8,4,0,0.905,Joe Cocker,0.187,0.0282,255293,You Can Leave Your Hat On,0.118,5,0.535,0.65,blues,-13.325
88.451,3,0.000398,0.417,Nina Simone,0.191,0.0306,154067,I Put A Spell On You,0.725,6,0.382,0.403,blues,-9.1
149.84,4,0,0.926,Ray Charles,0.0614,0.0683,160173,Mess Around,0.473,8,0.924,0.615,blues,-5.409
99.821,4,0.00602,0.739,Al Green,0.0803,0.164,303533,Love And Happiness,0.301,8,0.434,0.821,blues,-10.981
162.809,3,0.00692,0.549,Etta James,0.571,0.0285,153360,I'd Rather Go Blind,0.633,11,0.309,0.412,blues,-10.281
123.981,4,1.75e-06,0.933,Fats Domino,0.12,0.0341,147613,Ain't That a Shame,0.858,11,0.207,0.468,blues,-12.895
101.928,4,0.0124,0.803,Elmore James,0.289,0.0354,174667,Dust My Broom,0.247,2,0.664,0.526,blues,-6.62
126.624,4,0.0852,0.916,Curtis Mayfield,0.108,0.0379,300693,Pusherman,0.239,10,0.669,0.851,blues,-9.562
127.114,4,0,0.708,The Drifters,0.0388,0.0427,155800,Under The Boardwalk - Re-Recording,0.506,5,0.702,0.646,blues,-4.818
95.379,3,9.94e-05,0.171,Percy Sledge,0.295,0.025,176133,When A Man Loves A Woman,0.246,1,0.272,0.407,blues,-13.394
128.555,4,0,0.872,Sam Cooke,0.0868,0.035,130267,Wonderful World,0.647,11,0.466,0.688,blues,-11.299
128.339,4,0.0333,0.192,Canned Heat,0.322,0.048,199635,On the Road Again,0.88,9,0.182,0.395,blues,-19.545
145.903,4,3.69e-05,0.403,Howlin' Wolf,0.104,0.0608,188360,Smokestack Lightnin',0.568,9,0.464,0.662,blues,-11.255
111.936,4,0.000457,0.649,Sam & Dave,0.0873,0.0449,154062,Hold On I'm Coming,0.0975,1,0.504,0.81,blues,-8.169
81.876,4,0.00356,0.966,Little Richard,0.322,0.0521,137213,Good Golly Miss Molly,0.583,0,0.903,0.656,blues,-6.185
72.357,4,5.33e-06,0.449,The Chi-Lites,0.195,0.0326,176640,Oh Girl,0.74,9,0.462,0.568,blues,-9.741
148.801,3,0.0192,0.7,George Thorogood & The Destroyers,0.145,0.0899,289853,Bad To The Bone,0.00227,7,0.901,0.334,blues,-4.21
110.431,4,0.000111,0.874,Lou Rawls,0.107,0.035,266307,You'll Never Find Another Love Like Mine,0.282,2,0.669,0.699,blues,-10.563
94.466,4,5.92e-05,0.603,Marlena Shaw,0.323,0.0555,177293,California Soul,0.557,6,0.828,0.518,blues,-8.324
110.671,4,0.0437,0.727,Barry White,0.182,0.0754,242573,"Can't Get Enough Of Your Love, Babe",0.169,5,0.646,0.766,blues,-12.328
134.93,4,0.943,0.876,Booker T. & the M.G.'s,0.104,0.0368,172199,Green Onions,0.779,10,0.475,0.83,blues,-10.358
113.32,3,0.007,0.624,Elvin Bishop,0.146,0.0321,276000,Fooled Around And Fell In Love,0.0523,10,0.619,0.637,blues,-11.401
120.059,4,0.0237,0.646,ZZ Top,0.0883,0.0298,241080,Gimme All Your Lovin',0.00322,5,0.788,0.63,blues,-6.7
138.24,3,0,0.786,Fats Domino,0.257,0.0267,140787,Blueberry Hill,0.77,11,0.447,0.493,blues,-11.513
112.378,4,0.000492,0.891,Jonny Lang,0.061,0.043,251307,Lie To Me,0.561,8,0.684,0.615,blues,-8.679
111.919,4,3.69e-06,0.828,Wilson Pickett,0.118,0.0403,157160,In The Midnight Hour,0.12,4,0.444,0.75,blues,-8.63
138.341,4,0.501,0.867,Curtis Mayfield,0.101,0.0651,535333,Move On Up - Extended Version,0.141,11,0.975,0.584,blues,-6.534
108.643,4,0.00625,0.926,Eddie Floyd,0.153,0.0382,179867,Knock On Wood,0.568,9,0.562,0.829,blues,-10.405
131.909,4,0,0.947,Sam Cooke,0.601,0.043,154333,Chain Gang,0.716,7,0.738,0.699,blues,-9.149
119.755,4,0.000188,0.767,Free,0.378,0.102,332907,All Right Now,0.302,2,0.451,0.761,blues,-12.996
115.682,4,0.292,0.501,Derek & The Dominos,0.309,0.0677,423840,Layla - 40th Anniversary Version / 2010 Remastered,0.549,1,0.916,0.399,blues,-3.764
75.188,4,5.84e-06,0.397,Bill Withers,0.161,0.0536,257533,Lean on Me,0.812,0,0.234,0.615,blues,-11.8
110.262,4,7.18e-06,0.516,Bobby Womack,0.166,0.0488,230373,Across 110th Street,0.107,11,0.579,0.476,blues,-14.609
90.285,4,0.447,0.638,B.B. King,0.0948,0.0245,324707,The Thrill Is Gone,0.459,11,0.468,0.545,blues,-7.975
119.113,4,0.000902,0.608,Howlin' Wolf,0.0879,0.0512,162853,Spoonful,0.751,9,0.427,0.858,blues,-10.932
102.045,4,0.000387,0.418,The Staple Singers,0.0784,0.14,289013,I'll Take You There,0.147,0,0.628,0.81,blues,-9.882
98.489,4,6.07e-05,0.786,Barry White,0.249,0.0565,210534,Let the Music Play,0.0403,10,0.746,0.54,blues,-8.782
143.453,4,0,0.887,The Drifters,0.198,0.0361,154960,Save The Last Dance For Me,0.614,4,0.53,0.54,blues,-10.583
141.045,4,9.18e-06,0.576,The Chi-Lites,0.131,0.0381,284851,Have You Seen Her,0.737,4,0.58,0.626,blues,-9.393
126.877,4,0.00395,0.76,Stevie Ray Vaughan,0.106,0.0385,219587,Pride and Joy,0.0274,8,0.626,0.427,blues,-11.821
112.295,4,0,0.626,The Spinners,0.0976,0.068,188800,I'll Be Around,0.175,8,0.791,0.593,blues,-8.698
146.883,3,2.39e-05,0.365,Al Green,0.0677,0.0481,383493,How Can You Mend a Broken Heart,0.517,4,0.298,0.457,blues,-12.059
122.191,4,0.00547,0.0772,Joe Cocker,0.142,0.0408,163093,You Are So Beautiful,0.91,1,0.198,0.383,blues,-11.831
83.541,4,2.5e-06,0.506,Gary Clark Jr.,0.129,0.0336,324787,Bright Lights,0.00207,9,0.752,0.515,blues,-1.853
100.232,4,2.53e-06,0.726,Etta James,0.0718,0.0984,192787,I Just Want To Make Love To You (From The Diet Coke TV Advert),0.835,3,0.542,0.643,blues,-8.557
118.277,4,8.85e-06,0.539,Nina Simone,0.0983,0.0744,218760,My Baby Just Cares For Me,0.862,11,0.346,0.753,blues,-12.957
104.593,4,0.000408,0.832,Dr. John,0.144,0.0456,175240,Right Place Wrong Time,0.0923,1,0.494,0.789,blues,-13.702
157.404,4,0,0.868,Little Walter,0.146,0.0444,160027,My Babe,0.927,5,0.333,0.693,blues,-10.721
189.346,4,0.0552,0.674,The Allman Brothers Band,0.224,0.0332,178493,Midnight Rider,0.353,7,0.49,0.412,blues,-13.172
109.206,4,0,0.729,Edwin Starr,0.144,0.168,202120,War - Single Version,0.0492,1,0.824,0.598,blues,-7.186
97.918,4,0.00241,0.723,Bill Withers,0.105,0.0324,254560,Lovely Day,0.292,9,0.651,0.69,blues,-8.267
141.407,3,0.00152,0.305,Joe Cocker,0.0923,0.0672,312173,With A Little Help From My Friends,0.276,2,0.447,0.315,blues,-11.198
88.629,3,0,0.454,Harold Melvin & The Blue Notes,0.602,0.0262,213235,If You Don't Know Me By Now,0.351,11,0.562,0.549,blues,-4.821
88.223,4,0.0148,0.515,Blind Faith,0.124,0.0341,197707,Can't Find My Way Home,0.911,2,0.358,0.54,blues,-12.792
184.183,4,0,0.826,Little Richard,0.13,0.104,127742,Long Tall Sally,0.77,5,0.577,0.427,blues,-10.232
119.735,4,0.000202,0.636,Ben E. King,0.148,0.0517,170960,Stand By Me,0.751,9,0.183,0.677,blues,-10.632
120.109,4,7.5e-05,0.767,Curtis Mayfield,0.0913,0.11,233600,Superfly,0.457,2,0.708,0.784,blues,-9.141
181.145,4,0.00304,0.926,The Allman Brothers Band,0.286,0.036,288160,Ramblin' Man,0.488,1,0.831,0.309,blues,-8.288
78.884,4,0.000228,0.521,Bill Withers,0.0946,0.0462,122640,Ain't No Sunshine,0.304,4,0.484,0.524,blues,-8.151
141.319,4,0,0.587,The Drifters,0.0702,0.0424,147907,This Magic Moment,0.401,0,0.304,0.348,blues,-12.268
91.896,4,1.64e-06,0.809,Los Lonely Boys,0.0754,0.0638,226960,Heaven,0.376,11,0.818,0.653,blues,-6.375
75.473,3,4.08e-06,0.29,Gary Moore,0.145,0.0318,249093,Still Got The Blues - Single Version,0.43,9,0.5,0.331,blues,-8.551
101.391,4,0.0166,0.556,Al Green,0.0797,0.0768,195960,Let's Stay Together,0.574,5,0.302,0.763,blues,-14.599
96.129,4,0,0.514,Jimmy Ruffin,0.101,0.0269,181453,What Becomes Of The Brokenhearted,0.681,5,0.442,0.685,blues,-10.682
100.376,4,0.000101,0.128,Otis Redding,0.11,0.0405,225680,Try A Little Tenderness,0.312,4,0.367,0.491,blues,-8.68
118.854,4,0.106,0.42,Ten Years After,0.113,0.035,223960,I'd Love To Change The World,0.233,4,0.516,0.39,blues,-12.125
98.04,4,0.0839,0.547,James Brown,0.0852,0.0423,194933,The Boss,0.427,1,0.564,0.735,blues,-8.303
109.741,4,3.36e-06,0.539,Wilson Pickett,0.174,0.0348,187827,Mustang Sally,0.0906,0,0.522,0.76,blues,-8.088
72.629,4,0.000171,0.65,Bobby Womack,0.13,0.058,329613,If You Think You're Lonely Now,0.425,0,0.681,0.639,blues,-7.377
105.207,4,0.0454,0.66,Eric Clapton,0.121,0.0288,218747,Cocaine,0.083,9,0.434,0.702,blues,-15.182
109.742,3,0,0.515,Muddy Waters,0.118,0.0714,172293,Mannish Boy,0.59,2,0.419,0.624,blues,-9.489
79.896,4,0.000307,0.487,Joe Bonamassa,0.105,0.0294,279227,Different Shades of Blue,0.176,9,0.671,0.5,blues,-4.366
110.047,3,0,0.573,Nina Simone,0.137,0.0381,172973,Feeling Good,0.835,7,0.27,0.401,blues,-11.022
124.947,4,0.0006,0.397,ZZ Top,0.0751,0.0289,255640,Sharp Dressed Man,0.000998,5,0.888,0.592,blues,-4.133
137.221,4,0,0.899,Jackie Wilson,0.784,0.129,164347,Lonely Teardrops,0.596,7,0.582,0.591,blues,-4.554
184.716,4,0,0.967,Little Richard,0.0498,0.0824,143073,Tutti Frutti,0.532,10,0.436,0.534,blues,-8.188
95.419,4,0.372,0.454,Eric Clapton,0.141,0.031,221973,Wonderful Tonight,0.672,7,0.138,0.564,blues,-20.072
172.806,4,0,0.939,,0.8,0.276,119133,,0.665,8,0.558,0.579,blues,-12.083
160.914,4,0.125,0.524,ZZ Top,0.118,0.0609,234107,La Grange,0.0128,9,0.532,0.469,blues,-15.666
79.674,4,0.051,0.722,Canned Heat,0.109,0.0447,172867,Going Up The Country,0.859,5,0.239,0.622,blues,-18.982
88.14,3,0.000921,0.251,Etta James,0.334,0.0296,178867,At Last,0.793,5,0.349,0.254,blues,-8.416
171.776,3,0,0.483,Sam Cooke,0.296,0.0337,191320,A Change Is Gonna Come,0.748,10,0.442,0.203,blues,-9.865
177.39,3,0,0.708,Otis Redding,0.345,0.0277,151613,These Arms Of Mine,0.827,10,0.416,0.428,blues,-9.132
153.744,4,0.536,0.297,Eric Clapton,0.133,0.0257,271760,Tears In Heaven,0.835,9,0.242,0.498,blues,-12.238
124.616,4,6.24e-05,0.123,Bonnie Raitt,0.271,0.032,333467,I Can't Make You Love Me,0.853,10,0.152,0.582,blues,-16.684
88.045,4,0.000211,0.0718,Donny Hathaway,0.245,0.037,325947,A Song For You,0.822,5,0.22,0.315,blues,-13.156
91.57,4,0,0.615,Gladys Knight & The Pips,0.137,0.0337,279627,Midnight Train to Georgia,0.245,1,0.536,0.558,blues,-6.902
173.953,3,0.0233,0.945,Screamin' Jay Hawkins,0.106,0.0705,145867,I Put a Spell on You,0.635,5,0.442,0.729,blues,-11.594
162.456,4,0.129,0.894,John Lee Hooker,0.0644,0.054,153653,Boom Boom,0.344,10,0.567,0.449,blues,-12.442
81.465,3,3.25e-05,0.628,James Brown,0.0644,0.0433,167333,"It's A Man's, Man's, Man's World",0.675,3,0.37,0.653,blues,-10.914
68.671,4,0,0.378,Peggy Lee,0.123,0.11,199494,Fever,0.146,11,0.178,0.732,blues,-12.718
103.544,4,0,0.584,Otis Redding,0.0791,0.0304,161413,(Sittin' On) The Dock Of The Bay,0.641,2,0.333,0.755,blues,-10.297
123.979,4,4.19e-05,0.391,Brad Paisley,0.269,0.0346,234840,Perfect Storm,0.365,0,0.753,0.53,country,-5.551
104.023,4,9.77e-05,0.93,Eric Church,0.185,0.0255,263387,Springsteen,0.1,2,0.809,0.692,country,-5.935
81.806,4,0,0.71,Big & Rich,0.0954,0.0463,223307,Look at You,0.0749,11,0.821,0.502,country,-4.895
180.099,4,0,0.63,The Swon Brothers,0.0964,0.144,219907,Later On,0.0525,2,0.892,0.409,country,-2.923
153.929,4,0,0.579,Tyler Farr,0.243,0.0428,188147,Whiskey in My Water,0.245,7,0.872,0.526,country,-5.079
