artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Nicholas Payton,The Last Goodbye,0.959,0.383,325400,0.173,0.908,2,0.112,-11.969,0.0306,77.945,3,0.0746,jazz
Thelonious Monk Trio,Blue Monk,0.853,0.479,458773,0.435,0.779,3,0.11,-12.112,0.0404,139.786,4,0.61,jazz
Duke Ellington,Second Line,0.211,0.514,313333,0.505,0.126,7,0.0901,-8.15,0.0497,87.263,4,0.64,jazz
Louis Armstrong,Summertime,0.907,0.152,298133,0.0882,0.00371,8,0.107,-21.102,0.0336,65.923,4,0.124,jazz
Eric Reed,I Still Believe in You,0.964,0.605,285000,0.0223,0.907,1,0.0851,-22.559,0.0499,67.851,4,0.218,jazz
Frank Sinatra,You Make Me Feel So Young - 1998 Digital Remaster,0.383,0.577,177400,0.306,0,9,0.18,-11.559,0.0427,125.166,4,0.57,jazz
Stanley Clarke,Silly Putty,0.00738,0.637,281147,0.621,0.854,2,0.116,-12.915,0.1,167.106,4,0.678,jazz
Wayne Shorter,Infant Eyes - 1999 Digital Remaster,0.985,0.34,414240,0.0837,0.761,3,0.0945,-12.072,0.042,138.689,3,0.131,jazz
Joni Mitchell,Both Sides Now,0.868,0.258,345400,0.139,0.00149,2,0.1,-13.522,0.0317,77.995,4,0.133,jazz
Joe Lovano,Emperor Jones - Instrumental,0.93,0.336,314493,0.328,0.732,7,0.111,-15.005,0.0386,184.007,3,0.198,jazz
Duke Ellington,"New York, New York",0.99,0.541,168907,0.256,0.602,5,0.213,-16.317,0.0892,62.84,4,0.557,jazz
Julián Argüelles,Amabutho,0.984,0.539,247000,0.124,0.837,3,0.0841,-7.983,0.0397,90.442,4,0.434,jazz
Art Blakey & The Jazz Messengers,Moanin',0.827,0.614,576173,0.233,0.198,5,0.13,-18.964,0.0568,126.256,4,0.431,jazz
The Modern Jazz Quartet,Django,0.684,0.402,275333,0.206,0.00135,5,0.107,-19.784,0.0465,168.31,4,0.418,jazz
McCoy Tyner,When Sunny Gets Blue,0.846,0.569,282320,0.117,0.852,5,0.0978,-22.741,0.0446,60.483,4,0.102,jazz
Antônio Carlos Jobim,Águas De Março,0.815,0.649,214867,0.365,0,3,0.117,-14.807,0.116,143.639,4,0.508,jazz
Tito Puente,Oye Como Va,0.743,0.696,272547,0.728,0.0537,7,0.0835,-6.937,0.034,124.092,4,0.964,jazz
Herbie Hancock,Watermelon Man,0.262,0.724,388960,0.414,0.111,1,0.0785,-11.19,0.0588,146.939,4,0.715,jazz
Miles Davis,Blue in Green,0.81,0.421,337733,0.0161,0.0021,2,0.0978,-25.358,0.0374,110.926,4,0.155,jazz
Ornette Coleman,Chronology,0.185,0.576,363573,0.422,0.244,0,0.264,-11.277,0.0594,115.478,4,0.561,jazz
Gary Burton,Question And Answer,0.896,0.26,383000,0.404,0.74,2,0.106,-14.7,0.0373,171.329,3,0.518,jazz
Mary Lou Williams,My Blue Heaven,0.75,0.693,190680,0.258,0.0534,5,0.27,-14.618,0.0323,70.447,4,0.617,jazz
Art Blakey,Are You Real,0.608,0.523,287440,0.667,0.0227,8,0.332,-7.283,0.0682,108.162,4,0.658,jazz
Jelly Roll Morton,Doctor Jazz,0.989,0.72,207267,0.333,0.742,1,0.434,-14.227,0.0493,99.639,4,0.918,jazz
Cal Tjader,Black Orchid,0.955,0.697,193267,0.147,0.845,1,0.112,-18.481,0.0476,123.708,4,0.416,jazz
Ahmad Jamal,Ahmad's Blues,0.99,0.508,174000,0.15,0.899,5,0.144,-20.844,0.0418,173.36,3,0.251,jazz
Miles Davis,"It's About That Time - Live at Fillmore East June 20, 1970",0.204,0.48,663533,0.598,0.0178,1,0.23,-11.922,0.172,98.914,4,0.797,jazz
Duke Ellington,Haupe,0.905,0.415,156307,0.0187,0.194,10,0.0979,-20.209,0.0363,111.42,4,0.135,jazz
Quincy Jones,Bluesette,0.665,0.565,422333,0.431,8.37e-05,10,0.119,-15.405,0.0614,79.853,3,0.712,jazz
Ella Fitzgerald,They Can't Take That Away From Me,0.609,0.546,279733,0.19,0,3,0.108,-15.314,0.0738,101.73,4,0.386,jazz
The Lounge Lizards,My Trip To Ireland,0.153,0.463,353067,0.6,0.0969,0,0.076,-14.801,0.0587,125.986,3,0.784,jazz
Gerry Mulligan,My Funny Valentine,0.972,0.329,246067,0.0317,0.939,5,0.147,-21.514,0.0441,75.844,4,0.285,jazz
Charles Mingus,Self-Portrait In Three Colours,0.98,0.224,186707,0.0937,0.784,10,0.107,-15.641,0.0343,168.418,3,0.098,jazz
Weather Report,Birdland,0.484,0.585,358400,0.565,0.0226,0,0.0808,-12.139,0.0372,156.208,4,0.572,jazz
Norah Jones,Don't Know Why,0.883,0.732,186147,0.198,1.1e-05,5,0.0659,-11.775,0.028,88.174,4,0.636,jazz
Chick Corea,My One And Only Love - Digitally Remastered,0.819,0.351,216707,0.209,0.914,10,0.102,-23.533,0.0361,159.504,4,0.472,jazz
Charlie Parker,Yardbird Suite,0.924,0.776,173314,0.372,0.711,0,0.0807,-8.604,0.0521,105.342,4,0.86,jazz
Bengt Hallberg,Karl-Bertil Jonssons Julafton,0.967,0.414,115213,0.0545,0.728,2,0.0858,-15.309,0.0337,100.007,4,0.0949,jazz
Ibrahim Maalouf,Doubts 2,0.971,0.428,294587,0.212,0.73,0,0.169,-15.442,0.032,98.096,3,0.312,jazz
Nat King Cole,"Unforgettable (Duet with Nat ""King"" Cole) - 2000 Digital Remaster",0.807,0.286,208640,0.31,0.000128,2,0.0988,-12.368,0.0275,86.966,4,0.149,jazz
Sarah Vaughan,Tenderly,0.957,0.205,151373,0.118,2.01e-06,10,0.129,-16.794,0.0421,68.687,5,0.0565,jazz
Herbie Hancock,Maiden Voyage,0.718,0.468,477093,0.459,0.00323,0,0.0944,-9.706,0.0305,124.346,4,0.184,jazz
Tommy Flanagan,Angel Eyes - Studio,0.876,0.487,349600,0.145,0.822,5,0.149,-18.67,0.0522,110.134,4,0.133,jazz
Woody Shaw,Theme for Maxine,0.655,0.478,435573,0.33,0.847,5,0.177,-13.283,0.036,113.902,3,0.446,jazz
Brad Mehldau,Prelude To A Kiss,0.929,0.37,600533,0.104,0.908,0,0.144,-21.112,0.0364,78.729,3,0.131,jazz
Benny Goodman,"Sing, Sing, Sing",0.853,0.62,520293,0.67,0.896,2,0.156,-11.575,0.0591,113.492,4,0.296,jazz
The Thad Jones - Mel Lewis Orchestra,Groove Merchant,0.481,0.411,502227,0.34,0.208,1,0.887,-16.81,0.0569,80.667,4,0.373,jazz
Astrud Gilberto,Agua De Beber,0.391,0.651,140240,0.308,0,4,0.0713,-17.96,0.0388,148.054,4,0.87,jazz
Joshua Redman,Twilight...And Beyond,0.822,0.459,660400,0.187,0.382,1,0.104,-15.31,0.0473,143.059,4,0.253,jazz
Keith Jarrett,Birth,0.959,0.392,376546,0.119,0.682,5,0.0972,-18.487,0.039,103.886,4,0.185,jazz
Bob James,Maputo,0.0773,0.701,408467,0.513,0.881,7,0.113,-14.369,0.034,90.886,4,0.752,jazz
Wes Montgomery,Four On Six,0.868,0.492,371007,0.388,0.171,7,0.115,-13.544,0.0335,104.198,4,0.635,jazz
Stan Getz,A Nightingale Sang In Berkeley Square,0.955,0.427,419627,0.0467,0.0166,1,0.134,-24.557,0.0395,93.828,4,0.249,jazz
Norah Jones,Come Away With Me,0.904,0.363,198147,0.129,1.52e-06,0,0.157,-14.304,0.0322,80.367,3,0.155,jazz
George Benson,Breezin' - Remastered,0.476,0.682,341733,0.752,0.863,2,0.0768,-9.521,0.0454,81.081,4,0.964,jazz
Bix Beiderbecke,Clarinet Marmalade,0.991,0.779,192773,0.452,0.818,5,0.0828,-10.351,0.0504,125.229,4,0.965,jazz
Kurt Elling,Moonlight Serenade,0.856,0.371,262027,0.0884,0,3,0.101,-18.251,0.0376,87.441,4,0.16,jazz
Glenn Miller,In the Mood,0.854,0.645,211587,0.398,0.306,8,0.0731,-12.208,0.11,82.768,4,0.699,jazz
Miles Davis,It Never Entered My Mind - Remastered,0.921,0.406,244516,0.157,0.0668,8,0.0898,-14.357,0.0305,57.671,4,0.365,jazz
Jamie Cullum,Devil May Care,0.458,0.71,203693,0.299,1.33e-05,8,0.0547,-12.761,0.0628,109.313,4,0.712,jazz
Charles Mingus,Goodbye Pork Pie Hat,0.957,0.356,342373,0.0937,0.096,8,0.209,-16.64,0.0353,86.669,3,0.259,jazz
Kenny Garrett,Before It's Time To Say Goodbye,0.857,0.364,317946,0.114,0.635,1,0.0839,-16.552,0.0333,117.715,3,0.0581,jazz
Buddy Rich,Birdland,0.207,0.51,406467,0.465,0.00168,7,0.317,-16.175,0.0376,89.284,4,0.56,jazz
Chano Pozo,Moody'S All Frantic,0.701,0.545,155037,0.593,0.00684,6,0.338,-13.728,0.0657,78.449,4,0.625,jazz
Stanley Turrentine,Journey Into Melody - 2007 Digital Remaster,0.946,0.505,294940,0.159,0.0127,7,0.218,-11.235,0.0336,59.385,4,0.205,jazz
Art Pepper,You Go To My Head,0.978,0.575,258040,0.0935,0.452,3,0.109,-15.906,0.0858,65.23,4,0.289,jazz
Chet Baker,Moonlight In Vermont,0.977,0.427,249627,0.113,0.916,5,0.111,-17.205,0.0465,123.198,4,0.488,jazz
Dizzy Gillespie,Caravan,0.792,0.373,439893,0.603,0.0369,1,0.111,-12.506,0.0584,166.253,4,0.568,jazz
Thad Jones,April In Paris - 2007 - Remaster,0.736,0.509,403360,0.224,0.301,0,0.327,-11.123,0.0327,112.355,4,0.164,jazz
Donald Byrd,(Fallin' Like) Dominoes,0.0171,0.693,273133,0.603,0.0112,1,0.0693,-10.675,0.0378,103.552,4,0.83,jazz
Ella Fitzgerald,"Bewitched, Bothered, And Bewildered",0.977,0.365,421467,0.115,0,5,0.1,-15.424,0.0422,68.094,4,0.269,jazz
Vince Guaraldi Trio,Linus And Lucy,0.756,0.39,185453,0.393,0.93,1,0.169,-14.118,0.0404,80.614,4,0.68,jazz
Jason Moran,Blue Blocks,0.805,0.391,275389,0.513,0.914,10,0.131,-13.444,0.0328,92.732,3,0.478,jazz
Keith Jarrett,Pretty Ballad,0.861,0.404,210066,0.0602,0.901,11,0.703,-26.459,0.0422,106.82,3,0.146,jazz
Sam Cooke,Chain Gang,0.716,0.699,154333,0.738,0,7,0.601,-9.149,0.043,131.909,4,0.947,blues
Otis Redding,(Sittin' On) The Dock Of The Bay,0.641,0.755,161413,0.333,0,2,0.0791,-10.297,0.0304,103.544,4,0.584,blues
Bill Withers,Ain't No Sunshine,0.304,0.524,122640,0.484,0.000228,4,0.0946,-8.151,0.0462,78.884,4,0.521,blues
Joe Cocker,You Can Leave Your Hat On,0.118,0.65,255293,0.535,0,5,0.187,-13.325,0.0282,173.8,4,0.905,blues
Fats Domino,Blueberry Hill,0.77,0.493,140787,0.447,0,11,0.257,-11.513,0.0267,138.24,3,0.786,blues
The Allman Brothers Band,Ramblin' Man,0.488,0.309,288160,0.831,0.00304,1,0.286,-8.288,0.036,181.145,4,0.926,blues
Gladys Knight & The Pips,Midnight Train to Georgia,0.245,0.558,279627,0.536,0,1,0.137,-6.902,0.0337,91.57,4,0.615,blues
The Chi-Lites,Oh Girl,0.74,0.568,176640,0.462,5.33e-06,9,0.195,-9.741,0.0326,72.357,4,0.449,blues
John Lee Hooker,Boom Boom,0.344,0.449,153653,0.567,0.129,10,0.0644,-12.442,0.054,162.456,4,0.894,blues
Booker T. & the M.G.'s,Green Onions,0.779,0.83,172199,0.475,0.943,10,0.104,-10.358,0.0368,134.93,4,0.876,blues
Gary Clark Jr.,Bright Lights,0.00207,0.515,324787,0.752,2.5e-06,9,0.129,-1.853,0.0336,83.541,4,0.506,blues
The Allman Brothers Band,Midnight Rider,0.353,0.412,178493,0.49,0.0552,7,0.224,-13.172,0.0332,189.346,4,0.674,blues
Canned Heat,On the Road Again,0.88,0.395,199635,0.182,0.0333,9,0.322,-19.545,0.048,128.339,4,0.192,blues
B.B. King,The Thrill Is Gone,0.459,0.545,324707,0.468,0.447,11,0.0948,-7.975,0.0245,90.285,4,0.638,blues
Los Lonely Boys,Heaven,0.376,0.653,226960,0.818,1.64e-06,11,0.0754,-6.375,0.0638,91.896,4,0.809,blues
Joe Bonamassa,Different Shades of Blue,0.176,0.5,279227,0.671,0.000307,9,0.105,-4.366,0.0294,79.896,4,0.487,blues
Etta James,I'd Rather Go Blind,0.633,0.412,153360,0.309,0.00692,11,0.571,-10.281,0.0285,162.809,3,0.549,blues
James Brown,"It's A Man's, Man's, Man's World",0.675,0.653,167333,0.37,3.25e-05,3,0.0644,-10.914,0.0433,81.465,3,0.628,blues
Sam Cooke,A Change Is Gonna Come,0.748,0.203,191320,0.442,0,10,0.296,-9.865,0.0337,171.776,3,0.483,blues
Little Richard,Good Golly Miss Molly,0.583,0.656,137213,0.903,0.00356,0,0.322,-6.185,0.0521,81.876,4,0.966,blues
The Drifters,Save The Last Dance For Me,0.614,0.54,154960,0.53,0,4,0.198,-10.583,0.0361,143.453,4,0.887,blues
Gary Moore,Still Got The Blues - Single Version,0.43,0.331,249093,0.5,4.08e-06,9,0.145,-8.551,0.0318,75.473,3,0.29,blues
Jonny Lang,Lie To Me,0.561,0.615,251307,0.684,0.000492,8,0.061,-8.679,0.043,112.378,4,0.891,blues
ZZ Top,La Grange,0.0128,0.469,234107,0.532,0.125,9,0.118,-15.666,0.0609,160.914,4,0.524,blues
Aaron Neville,Tell it Like it is,0.789,0.455,184747,0.522,9.02e-06,5,0.207,-6.266,0.0641,175.962,3,0.836,blues
Curtis Mayfield,Move On Up - Extended Version,0.141,0.584,535333,0.975,0.501,11,0.101,-6.534,0.0651,138.341,4,0.867,blues
Edwin Starr,War - Single Version,0.0492,0.598,202120,0.824,0,1,0.144,-7.186,0.168,109.206,4,0.729,blues
Little Richard,Tutti Frutti,0.532,0.534,143073,0.436,0,10,0.0498,-8.188,0.0824,184.716,4,0.967,blues
Dr. John,Right Place Wrong Time,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,0.0456,104.593,4,0.832,blues
Nina Simone,My Baby Just Cares For Me,0.862,0.753,218760,0.346,8.85e-06,11,0.0983,-12.957,0.0744,118.277,4,0.539,blues
Eric Clapton,Tears In Heaven,0.835,0.498,271760,0.242,0.536,9,0.133,-12.238,0.0257,153.744,4,0.297,blues
Stevie Ray Vaughan,Pride and Joy,0.0274,0.427,219587,0.626,0.00395,8,0.106,-11.821,0.0385,126.877,4,0.76,blues
Roberta Flack,Killing Me Softly With His Song,0.727,0.477,286920,0.381,0,5,0.0615,-10.237,0.0342,121.568,4,0.318,blues
Ike & Tina Turner,Proud Mary,0.663,0.628,157720,0.917,0.000105,1,0.507,-5.067,0.0917,117.505,4,0.961,blues
ZZ Top,Sharp Dressed Man,0.000998,0.592,255640,0.888,0.0006,5,0.0751,-4.133,0.0289,124.947,4,0.397,blues
Harold Melvin & The Blue Notes,If You Don't Know Me By Now,0.351,0.549,213235,0.562,0,11,0.602,-4.821,0.0262,88.629,3,0.454,blues
The Staple Singers,I'll Take You There,0.147,0.81,289013,0.628,0.000387,0,0.0784,-9.882,0.14,102.045,4,0.418,blues
Al Green,How Can You Mend a Broken Heart,0.517,0.457,383493,0.298,2.39e-05,4,0.0677,-12.059,0.0481,146.883,3,0.365,blues
Jackie Wilson,Lonely Teardrops,0.596,0.591,164347,0.582,0,7,0.784,-4.554,0.129,137.221,4,0.899,blues
John Lee Hooker,"One Bourbon, One Scotch, One Beer",0.553,0.733,180048,0.672,0,7,0.345,-11.725,0.0695,124.221,4,0.852,blues
The Drifters,Under The Boardwalk - Re-Recording,0.506,0.646,155800,0.702,0,5,0.0388,-4.818,0.0427,127.114,4,0.708,blues
Lou Rawls,You'll Never Find Another Love Like Mine,0.282,0.699,266307,0.669,0.000111,2,0.107,-10.563,0.035,110.431,4,0.874,blues
The Spinners,I'll Be Around,0.175,0.593,188800,0.791,0,8,0.0976,-8.698,0.068,112.295,4,0.626,blues
Percy Sledge,When A Man Loves A Woman,0.246,0.407,176133,0.272,9.94e-05,1,0.295,-13.394,0.025,95.379,3,0.171,blues
George Thorogood & The Destroyers,Bad To The Bone,0.00227,0.334,289853,0.901,0.0192,7,0.145,-4.21,0.0899,148.801,3,0.7,blues
Sam Cooke,Wonderful World,0.647,0.688,130267,0.466,0,11,0.0868,-11.299,0.035,128.555,4,0.872,blues
Bill Withers,Lovely Day,0.292,0.69,254560,0.651,0.00241,9,0.105,-8.267,0.0324,97.918,4,0.723,blues
Elvin Bishop,Fooled Around And Fell In Love,0.0523,0.637,276000,0.619,0.007,10,0.146,-11.401,0.0321,113.32,3,0.624,blues
Ten Years After,I'd Love To Change The World,0.233,0.39,223960,0.516,0.106,4,0.113,-12.125,0.035,118.854,4,0.42,blues
Wilson Pickett,In The Midnight Hour,0.12,0.75,157160,0.444,3.69e-06,4,0.118,-8.63,0.0403,111.919,4,0.828,blues
Curtis Mayfield,Pusherman,0.239,0.851,300693,0.669,0.0852,10,0.108,-9.562,0.0379,126.624,4,0.916,blues
Sam & Dave,Hold On I'm Coming,0.0975,0.81,154062,0.504,0.000457,1,0.0873,-8.169,0.0449,111.936,4,0.649,blues
Nina Simone,Feeling Good,0.835,0.401,172973,0.27,0,7,0.137,-11.022,0.0381,110.047,3,0.573,blues
Howlin' Wolf,Smokestack Lightnin',0.568,0.662,188360,0.464,3.69e-05,9,0.104,-11.255,0.0608,145.903,4,0.403,blues
Canned Heat,Going Up The Country,0.859,0.622,172867,0.239,0.051,5,0.109,-18.982,0.0447,79.674,4,0.722,blues
Barry White,Let the Music Play,0.0403,0.54,210534,0.746,6.07e-05,10,0.249,-8.782,0.0565,98.489,4,0.786,blues
Marlena Shaw,California Soul,0.557,0.518,177293,0.828,5.92e-05,6,0.323,-8.324,0.0555,94.466,4,0.603,blues
Eric Clapton,Wonderful Tonight,0.672,0.564,221973,0.138,0.372,7,0.141,-20.072,0.031,95.419,4,0.454,blues
,,0.665,0.579,119133,0.558,0,8,0.8,-12.083,0.276,172.806,4,0.939,blues
Howlin' Wolf,Spoonful,0.751,0.858,162853,0.427,0.000902,9,0.0879,-10.932,0.0512,119.113,4,0.608,blues
Joe Cocker,With A Little Help From My Friends,0.276,0.315,312173,0.447,0.00152,2,0.0923,-11.198,0.0672,141.407,3,0.305,blues
Bobby Womack,If You Think You're Lonely Now,0.425,0.639,329613,0.681,0.000171,0,0.13,-7.377,0.058,72.629,4,0.65,blues
Otis Redding,These Arms Of Mine,0.827,0.428,151613,0.416,0,10,0.345,-9.132,0.0277,177.39,3,0.708,blues
Etta James,At Last,0.793,0.254,178867,0.349,0.000921,5,0.334,-8.416,0.0296,88.14,3,0.251,blues
James Brown,The Boss,0.427,0.735,194933,0.564,0.0839,1,0.0852,-8.303,0.0423,98.04,4,0.547,blues
Elmore James,Dust My Broom,0.247,0.526,174667,0.664,0.0124,2,0.289,-6.62,0.0354,101.928,4,0.803,blues
Gene Chandler,Duke Of Earl,0.735,0.582,147467,0.411,0,5,0.0951,-9.767,0.0328,103.111,4,0.658,blues
Eddie Floyd,Knock On Wood,0.568,0.829,179867,0.562,0.00625,9,0.153,-10.405,0.0382,108.643,4,0.926,blues
Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,0.549,0.399,423840,0.916,0.292,1,0.309,-3.764,0.0677,115.682,4,0.501,blues
Bill Withers,Lean on Me,0.812,0.615,257533,0.234,5.84e-06,0,0.161,-11.8,0.0536,75.188,4,0.397,blues
Screamin' Jay Hawkins,I Put a Spell on You,0.635,0.729,145867,0.442,0.0233,5,0.106,-11.594,0.0705,173.953,3,0.945,blues
Barry White,"Can't Get Enough Of Your Love, Babe",0.169,0.766,242573,0.646,0.0437,5,0.182,-12.328,0.0754,110.671,4,0.727,blues
Ray Charles,Mess Around,0.473,0.615,160173,0.924,0,8,0.0614,-5.409,0.0683,149.84,4,0.926,blues
Jimmy Ruffin,What Becomes Of The Brokenhearted,0.681,0.685,181453,0.442,0,5,0.101,-10.682,0.0269,96.129,4,0.514,blues
Candi Staton,Young Hearts Run Free,0.22,0.635,223387,0.764,0,3,0.165,-5.535,0.0316,120.004,4,0.693,blues
Joe Cocker,You Are So Beautiful,0.91,0.383,163093,0.198,0.00547,1,0.142,-11.831,0.0408,122.191,4,0.0772,blues
Curtis Mayfield,Superfly,0.457,0.784,233600,0.708,7.5e-05,2,0.0913,-9.141,0.11,120.109,4,0.767,blues
Fats Domino,Ain't That a Shame,0.858,0.468,147613,0.207,1.75e-06,11,0.12,-12.895,0.0341,123.981,4,0.933,blues
Etta James,I Just Want To Make Love To You (From The Diet Coke TV Advert),0.835,0.643,192787,0.542,2.53e-06,3,0.0718,-8.557,0.0984,100.232,4,0.726,blues
ZZ Top,Gimme All Your Lovin',0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,0.0298,120.059,4,0.646,blues
Little Richard,Long Tall Sally,0.77,0.427,127742,0.577,0,5,0.13,-10.232,0.104,184.183,4,0.826,blues
The Chi-Lites,Have You Seen Her,0.737,0.626,284851,0.58,9.18e-06,4,0.131,-9.393,0.0381,141.045,4,0.576,blues
Ben E. King,Stand By Me,0.751,0.677,170960,0.183,0.000202,9,0.148,-10.632,0.0517,119.735,4,0.636,blues
Al Green,Love And Happiness,0.301,0.821,303533,0.434,0.00602,8,0.0803,-10.981,0.164,99.821,4,0.739,blues
Blind Faith,Can't Find My Way Home,0.911,0.54,197707,0.358,0.0148,2,0.124,-12.792,0.0341,88.223,4,0.515,blues
Nina Simone,I Put A Spell On You,0.725,0.403,154067,0.382,0.000398,6,0.191,-9.1,0.0306,88.451,3,0.417,blues
Bonnie Raitt,I Can't Make You Love Me,0.853,0.582,333467,0.152,6.24e-05,10,0.271,-16.684,0.032,124.616,4,0.123,blues
Bobby Womack,Across 110th Street,0.107,0.476,230373,0.579,7.18e-06,11,0.166,-14.609,0.0488,110.262,4,0.516,blues
Al Green,Let's Stay Together,0.574,0.763,195960,0.302,0.0166,5,0.0797,-14.599,0.0768,101.391,4,0.556,blues
Peggy Lee,Fever,0.146,0.732,199494,0.178,0,11,0.123,-12.718,0.11,68.671,4,0.378,blues
Wilson Pickett,Mustang Sally,0.0906,0.76,187827,0.522,3.36e-06,0,0.174,-8.088,0.0348,109.741,4,0.539,blues
James Brown,I Got You (I Feel Good),0.366,0.608,167840,0.587,1.46e-06,7,0.0501,-5.594,0.0981,144.064,4,0.7,blues
Otis Redding,Try A Little Tenderness,0.312,0.491,225680,0.367,0.000101,4,0.11,-8.68,0.0405,100.376,4,0.128,blues
Eric Clapton,Cocaine,0.083,0.702,218747,0.434,0.0454,9,0.121,-15.182,0.0288,105.207,4,0.66,blues
Donny Hathaway,A Song For You,0.822,0.315,325947,0.22,0.000211,5,0.245,-13.156,0.037,88.045,4,0.0718,blues
Little Walter,My Babe,0.927,0.693,160027,0.333,0,5,0.146,-10.721,0.0444,157.404,4,0.868,blues
Ray Charles,Georgia On My Mind,0.835,0.209,218213,0.329,0,7,0.163,-8.299,0.0293,167.274,5,0.223,blues
The Drifters,This Magic Moment,0.401,0.348,147907,0.304,0,0,0.0702,-12.268,0.0424,141.319,4,0.587,blues
Muddy Waters,Mannish Boy,0.59,0.624,172293,0.419,0,2,0.118,-9.489,0.0714,109.742,3,0.515,blues
Free,All Right Now,0.302,0.761,332907,0.451,0.000188,2,0.378,-12.996,0.102,119.755,4,0.767,blues
Tyler Farr,A Guy Walks Into a Bar,0.0824,0.428,196213,0.781,0,0,0.118,-3.42,0.0382,147.913,4,0.434,country
Uncle Kracker,Smile,0.196,0.546,201333,0.786,0,4,0.38,-4.776,0.0329,141.053,4,0.616,country
Dierks Bentley,Drunk On A Plane,0.00512,0.439,254467,0.754,7.45e-06,9,0.186,-5.566,0.0323,205.958,4,0.666,country
Sara Evans,A Little Bit Stronger,0.298,0.514,303280,0.663,3.61e-06,2,0.0818,-5.425,0.0373,147.842,4,0.249,country
